"","n","m","y","q","x","m_qy","xy_m","h","is_h_max","is_m_qy_min","is_xy_m_min"
"19794",38,163,6,27,28,1,5,828.504737210435,FALSE,TRUE,FALSE
"19795",38,163,7,23,24,2,5,827.806247047579,FALSE,FALSE,FALSE
"19796",38,163,8,20,21,3,5,827.384624466753,FALSE,FALSE,FALSE
"19797",38,163,9,18,19,1,8,828.108255269678,FALSE,TRUE,FALSE
"19798",38,163,10,16,17,3,7,826.733269182774,FALSE,FALSE,FALSE
"19799",38,163,11,14,15,9,2,828.531275585001,FALSE,FALSE,TRUE
"19800",38,163,12,13,14,7,5,826.61613494761,FALSE,FALSE,FALSE
"19801",38,164,5,32,33,4,1,835.497790437102,TRUE,FALSE,TRUE
"19802",38,164,6,27,28,2,4,834.205162474344,FALSE,TRUE,FALSE
"19803",38,164,7,23,24,3,4,833.872714514444,FALSE,FALSE,FALSE
"19804",38,164,8,20,21,4,4,833.65429076634,FALSE,FALSE,FALSE
"19805",38,164,9,18,19,2,7,833.412198592829,FALSE,TRUE,FALSE
"19806",38,164,10,16,17,4,6,832.785817054369,FALSE,FALSE,FALSE
"19807",38,164,11,14,15,10,1,835.456055720835,FALSE,FALSE,TRUE
"19808",38,164,12,13,14,8,4,833.232757205276,FALSE,FALSE,FALSE
"19809",38,165,5,33,33,0,0,842.481003193596,TRUE,TRUE,TRUE
